time,lat,lon,depth,station,C14_assimilation,C14_assimilation_stdev
2015-07-26T14:00:00,24.268617000000003,-156.815167,150,3,6.046233923024725,1.2338083467235
2015-07-26T14:00:00,24.268617000000003,-156.815167,175,3,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,250,3,1.418736609285666,0.3968786459970176
2015-07-26T14:00:00,24.268617000000003,-156.815167,300,3,1.1732562319483473,0.4283991788689249
2015-07-26T14:00:00,24.268617000000003,-156.815167,500,3,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,750,3,,
2015-07-28T03:00:00,24.568567,-156.6705,150,10,8.451704858270551,7.185474111932387
2015-07-28T03:00:00,24.568567,-156.6705,175,10,,
2015-07-28T03:00:00,24.568567,-156.6705,250,10,3.419332629946834,3.2131502490940163
2015-07-28T03:00:00,24.568567,-156.6705,300,10,1.111037647037393,0.336112005198706
2015-07-28T03:00:00,24.568567,-156.6705,500,10,0.4813684488527688,0.3309301281823415
2015-07-28T03:00:00,24.568567,-156.6705,750,10,0.3391871876997189,0.1310393635479332
2015-07-31T13:30:00,24.5671,-156.29673300000002,150,19,7.756087208072044,2.241604750024045
2015-07-31T13:30:00,24.5671,-156.29673300000002,175,19,0.8942628473650571,0.7790608239375806
2015-07-31T13:30:00,24.5671,-156.29673300000002,250,19,1.973757769490516,0.4527130719926014
2015-07-31T13:30:00,24.5671,-156.29673300000002,300,19,1.4361493325673305,0.9261752511980278
2015-07-31T13:30:00,24.5671,-156.29673300000002,500,19,0.1662304440865662,0.0919917191530035
2015-07-31T13:30:00,24.5671,-156.29673300000002,750,19,0.270971977905893,0.2914510653828051
