time,lat,lon,depth,station,cast,treatment,avg_fix_rate_13C,avg_fix_rate_13C_stdev,avg_fix_rate_15N2,avg_fix_rate_15N2_stdev
2016-04-20T15:00:00,23.5,-158,15,2,1,24L,3.5,0.35,1.49,0.37
2016-04-20T15:00:00,23.5,-158,15,2,1,24LS,5.35,1.42,1.03,0.27
2016-04-20T15:00:00,23.5,-158,15,2,1,24D,0.33,,0.07,
2016-04-20T15:00:00,23.5,-158,15,2,1,24L-24D,3.17,,1.42,
2016-04-20T15:00:00,23.5,-158,15,2,1,24LS-24D,5.01,,0.96,
2016-04-21T15:24:00,24.68,-158,15,3,1,24L,2.81,0.03,1.12,0.09
2016-04-21T15:24:00,24.68,-158,15,3,1,24D,0.1,0.05,0.09,0.06
2016-04-21T15:24:00,24.68,-158,15,3,1,24L-24D,2.71,,1.03,
2016-04-22T15:47:00,28.15,-158,15,4,1,24L,3.55,0.23,0.05,0.02
2016-04-22T15:47:00,28.15,-158,15,4,1,24LS,4.27,0.59,0.05,0.0
2016-04-22T15:47:00,28.15,-158,15,4,1,24D,0.2,0.07,0.01,
2016-04-22T15:47:00,28.15,-158,15,4,1,24L-24D,3.35,,0.05,
2016-04-22T15:47:00,28.15,-158,15,4,1,24LS-24D,4.06,,0.04,
2016-04-23T15:50:00,29.45,-158,15,5,1,24L,2.8,0.43,0.03,0.0
2016-04-23T15:50:00,29.45,-158,15,5,1,24D,0.15,0.05,0.1,0.07
2016-04-23T15:50:00,29.45,-158,15,5,1,24L-24D,2.65,,BDL,
2016-04-24T15:44:00,32.58,-158,15,6,1,24L,10.92,,BDL,
2016-04-24T15:44:00,32.58,-158,15,6,1,24LS,9.76,,BDL,
2016-04-24T15:44:00,32.58,-158,15,6,1,24D,0.24,0.12,0.01,0.01
2016-04-24T15:44:00,32.58,-158,15,6,1,24L-24D,10.68,,,
2016-04-24T15:44:00,32.58,-158,15,6,1,24LS-24D,9.52,,,
2016-04-25T15:39:00,34.05,-158,15,7,1,24L,8.69,0.84,0.03,0.04
2016-04-25T15:39:00,34.05,-158,15,7,1,24D,0.21,0.01,0.12,0.11
2016-04-25T15:39:00,34.05,-158,15,7,1,24L-24D,8.49,,BDL,
2016-04-26T15:48:00,37.3,-158,15,8,1,24L,14.19,,BDL,
2016-04-26T15:48:00,37.3,-158,15,8,1,24LS,13.83,0.17,BDL,0.05
2016-04-26T15:48:00,37.3,-158,15,8,1,24D,0.2,0.0,0.04,
2016-04-26T15:48:00,37.3,-158,15,8,1,24L-24D,13.99,,,
2016-04-26T15:48:00,37.3,-158,15,8,1,24LS-24D,13.63,,,
2016-04-27T15:50:00,36.57,-158,15,9,1,24L,7.19,0.31,0.01,0.0
2016-04-27T15:50:00,36.57,-158,15,9,1,24LS,6.15,0.66,0.06,0.04
2016-04-27T15:50:00,36.57,-158,15,9,1,24D,0.08,0.06,0.17,
2016-04-27T15:50:00,36.57,-158,15,9,1,24L-24D,7.1,,,
2016-04-27T15:50:00,36.57,-158,15,9,1,24LS-24D,6.06,,,
2016-04-28T15:36:00,35.46,-158,15,10,1,24L,11.78,0.36,0.02,0.01
2016-04-28T15:36:00,35.46,-158,15,10,1,24D,0.2,0.04,0.06,0.03
2016-04-28T15:36:00,35.46,-158,15,10,1,24L-24D,11.58,,,
2016-04-30T15:32:00,38.09,-158,15,12,1,24L,21.77,0.55,0.01,0.0
2016-04-30T15:32:00,38.09,-158,15,12,1,24D,0.26,0.03,0,0.03
2016-04-30T15:32:00,38.09,-158,15,12,1,24L-24D,21.51,,0.01,
2016-05-01T15:25:00,29.7,-158,15,13,1,24L,5.82,0.15,2.52,0.01
2016-05-01T15:25:00,29.7,-158,15,13,1,24D,0.16,0.02,0.17,0.21
2016-05-01T15:25:00,29.7,-158,15,13,1,24L-24D,5.66,,2.35,
2016-05-02T15:37:00,26.29,-158,15,14,1,24L,5.51,1.93,0.42,0.67
2016-05-02T15:37:00,26.29,-158,15,14,1,24LS,0.35,0.04,0.11,0.16
2016-05-02T15:37:00,26.29,-158,15,14,1,24D,7.17,0.04,1.08,0.02
2016-05-02T15:37:00,26.29,-158,15,14,1,24L-24D,5.15,,0.31,
2016-05-02T15:37:00,26.29,-158,15,14,1,24LS-24D,6.82,,0.97,
