time,lat,lon,depth,N2_fixation_rate_mean,N2_fixation_rate_stdev,fixation_rate_13C_mean,fixation_rate_13C_stdev,UCYN_A1_nifH_genes_small,UCYN_A1_nifH_genes_large,UCYN_A2_A3_nifH_genes_small,UCYN_A2_A3_nifH_genes_large,UCYN_B_nifH_genes_small,UCYN_B_nifH_genes_large,UCYN_C_nifH_genes_small,UCYN_C_nifH_genes_large,Trichodesmium_nifH_genes_small,Trichodesmium_nifH_genes_large,Het_1_nifH_genes_small,Het_1_nifH_genes_large,Het_2_nifH_genes_small,Het_2_nifH_genes_large,Het_3_nifH_genes_small,Het_3_nifH_genes_large,Gamma_A_nifH_genes_small,Gamma_A_nifH_genes_large,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2016-04-19T20:10:00,23.49675,-157.991,15,6.384839675780031,6.384839675780031,293.800097,29.0235959,468114.102966821,8041.685577350691,3089.916505644831,3373.84139652351,4002.46217079906,4040.98322713866,0,845.046834656984,0,0,0,0.0,0,294.835625438927,0,0,0,219.776193856572,23.20649814605713,24.026339213053387,35.115979512532554,0.0279918524126211,0.0815718919038772,1.3897143403689067,4.961927175521851,2.3211879085e-06,0.3122227638959999,220.751578808,9.815691560507812,0.0004808286148545,0.0364147754153312,0.5642807204276875
2016-04-20T19:30:00,24.6833333333333,-158.0,15,4.89992559614438,4.89992559614438,235.3870409,2.866014784,313706.338411755,9715.51624116447,1233.41852971811,1406.11263420472,0.0,281.628449495775,0,2843.59439480678,0,0,0,2090.28158347537,0,308.766740339095,0,0,0,0.0,22.738051732381184,24.22567907969157,35.19072977701823,0.0458580361058314,0.0781622504194577,1.3572508494059246,4.996755123138428,6.549179592715001e-07,0.2881899798910417,225.07913907362504,9.4762842257825,0.000370791106737,0.0330255661004479,0.5220159813761874
2016-04-21T20:05:00,28.139,-158.0,15,0.0,,297.4892148,19.64618854,9248.77533556577,174.323835630287,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,20.891804854075115,24.75599829355876,35.24224249521891,0.1775899572918812,0.233271449804306,2.1974229514598846,5.129673560460408,9.65176507581e-05,0.2424483268210833,235.32939847312505,10.0337902704825,0.000362165772458,0.0309254320648833,0.469380136579375
2016-04-22T20:00:00,29.4566666666667,-157.993333333333,15,0.0,,234.4901872,35.77368077,2808.30953234233,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,19.89279842376709,24.919503847757976,35.1205940246582,0.2062796875834465,0.3098986546198527,3.2088106870651245,5.240304072697957,9.19630959685e-05,0.2328251479194374,237.2503557205625,9.901458859444377,0.0003789945321841,0.03132985986305,0.4600159451365
2016-04-23T20:00:00,32.5833333333333,-158.001666666667,15,0.0,,913.2353197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,17.167468070983887,25.26355361938477,34.64813105265299,0.0703782880057891,0.3016157150268554,5.087004899978638,5.593292077382405,2.0323052033775,0.354837836697625,259.19750595093745,12.932371616350002,0.0060256498982212,0.0954977259971,1.134954847395
2016-04-24T06:30:00,32.6996666666667,-157.986666666667,15,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,17.167468070983887,25.26355361938477,34.64813105265299,0.0703782880057891,0.3016157150268554,5.087004899978638,5.593292077382405,2.608959443866875,0.3950181584805,260.65027046193745,13.138177514075,0.0064453989034531,0.1010430720634812,1.1771805286412498
2016-04-24T19:45:00,34.0583333333333,-158.001666666667,15,0.0,,727.6420029,69.98967252,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,15.691339333852133,25.429282506306965,34.418314933776855,0.0339597938582301,0.2722748157878716,5.150882601737976,5.77854045232137,4.37741294503,0.5206166319548751,267.741518020625,14.0481650233125,0.0074335872195675,0.1316717364824999,1.28264383226625
2016-04-25T19:50:00,37.3016666666667,-158.001666666667,15,0.0,,1187.317719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,12.707763671875,25.760508219401043,34.04049173990885,0.9359546601772308,0.589513768752416,4.758644739786784,6.160103718439738,6.358968466521251,0.6817720718681876,283.5744514465,14.973159790025,0.0070963649777693,0.1619378263130625,1.3829314783206248
2016-04-26T19:55:00,36.57,-158.001666666667,15,0.0,,601.5611885,26.06709976,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,13.4743332862854,25.680288632710774,34.13425636291504,0.4424882481495539,0.4293649444977442,4.777647018432617,6.0448354085286455,6.0991447120906255,0.6610522344709062,280.384355545,14.841285020103124,0.0070577724836759,0.1628275173715624,1.3569502346209374
2016-04-27T19:45:00,35.4633333333333,-158.0,15,0.0,,986.6781826,30.34808141,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,14.307801723480225,25.585811614990234,34.23282241821289,0.162494845688343,0.3177491575479507,4.945650418599446,5.93891962369283,5.058141777913542,0.5682567842305625,271.3432127634375,14.481485148270831,0.007819728372852,0.1456043583651458,1.3634253020089584
2016-04-28T11:15:00,36.575,-157.975,15,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,13.4743332862854,25.680288632710774,34.13425636291504,0.4424882481495539,0.4293649444977442,4.777647018432617,6.0448354085286455,5.9423462152475,0.647790286689875,277.6515655516875,14.774404048925,0.0069043955299999,0.163565132766875,1.318473398684375
2016-04-29T19:45:00,33.0916666666667,-158.001666666667,15,0.0,,1821.540011,45.93276165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,16.66984001795451,25.31934388478597,34.56813780466715,0.0484131818326811,0.2880592793226242,5.136942585309346,5.6575591166814165,2.218196831645,0.3691123463213124,259.6419229508125,13.093534052387502,0.0064755601342768,0.0947854910046187,1.136126749218125
2016-04-30T19:30:00,29.7,-158.0,15,10.7854339015233,10.7854339015233,487.0498821,12.36295986,730522.202952763,11707.4893993889,0.0,0.0,0.0,0.0,0,0.0,0,0,0,564.443659946362,0,0.0,0,0,0,0.0,19.89279842376709,24.919503847757976,35.1205940246582,0.2062796875834465,0.3098986546198527,3.2088106870651245,5.240304072697957,0.0085560440206966,0.2395565037927083,236.538871129375,10.140117565785834,0.0014349508728625,0.0383777058062458,0.5768153617779167
2016-05-01T19:45:00,26.2833333333333,-157.998333333333,15,1.75307802436374,1.75307802436374,460.7915662,161.5172845,205463.346361009,3882.14631438455,133.98626687704,1808.82792811216,0.0,0.0,0,0.0,0,0,0,2612.18701319304,0,0.0,0,0,0,0.0,22.763648351033527,24.34043820699056,35.18610191345215,0.1738851616779963,0.1350453061362107,1.5838650663693743,5.039760033289592,6.45431077472875e-07,0.2716535087675625,225.37666797625,9.746143817903125,0.0003610985131671,0.0281314807944062,0.5003140345215
