time,lat,lon,depth,station,cast,niskin,temp,sal,LminusD_12,stdev_12,LminusD_24,stdev_24
2017-05-29T14:27:00,25.46,-158.0,15,2,1,22,24.57,35.25,7.78,0.33,4.66,0.48
2017-05-30T13:28:00,28.25,-157.59,15,3,1,8,23.53,35.27,9.3,0.55,6.34,0.18
2017-05-31T13:37:00,32.15,-157.59,15,4,1,12,20.01,34.73,7.05,0.37,6.59,0.42
2017-06-01T13:26:00,36.03,-158.0,15,5,1,11,16.22,34.09,10.66,0.63,8.71,0.35
2017-06-02T13:29:00,39.45,-157.59,15,6,1,11,12.99,33.01,50.0,0.79,46.25,0.85
2017-06-03T13:29:14,41.24,-157.59,15,7,1,8,11.41,33.01,67.52,0.93,47.15,0.77
2017-06-05T13:32:35,37.59,-157.59,15,9,1,13,15.02,33.76,24.23,0.83,18.69,0.51
2017-06-06T14:21:33,36.59,-158.0,15,11,1,12,15.62,33.9,8.64,0.39,7.22,0.47
2017-06-07T13:33:29,35.59,-158.0,15,12,1,13,16.15,34.04,13.38,0.23,12.17,0.18
2017-06-09T13:31:52,33.0,-157.99,15,15,1,13,18.44,34.3,9.29,0.26,6.99,0.38
2017-06-10T13:29:11,32.0,-157.59,15,17,1,9,19.8,34.9,8.27,0.53,7.96,0.25
2017-06-11T13:31:14,29.34,-158.0,15,18,1,13,22.74,35.26,13.34,0.26,,
